Time (min),Temperature (°C),Compressor State,Error (°C),Perturbation (°C)
134,21.40000000000001,0,-0.5999999999999908,0.0
135,21.40000000000001,0,-0.5999999999999908,0.0
136,21.40000000000001,0,-0.5999999999999908,0.0
137,21.40000000000001,0,-0.5999999999999908,0.0
138,21.40000000000001,0,-0.5999999999999908,0.0
139,21.40000000000001,0,-0.5999999999999908,0.0
140,21.40000000000001,0,-0.5999999999999908,0.0
141,21.40000000000001,0,-0.5999999999999908,0.0
142,21.40000000000001,0,-0.5999999999999908,0.0
143,21.40000000000001,0,-0.5999999999999908,0.0
144,21.40000000000001,0,-0.5999999999999908,0.0
145,21.40000000000001,0,-0.5999999999999908,0.0
146,21.40000000000001,0,-0.5999999999999908,0.0
147,21.40000000000001,0,-0.5999999999999908,0.0
148,21.40000000000001,0,-0.5999999999999908,0.0
149,21.40000000000001,0,-0.5999999999999908,0.0
150,21.40000000000001,0,-0.5999999999999908,0.0
151,21.40000000000001,0,-0.5999999999999908,0.0
152,21.40000000000001,0,-0.5999999999999908,0.0
153,21.40000000000001,0,-0.5999999999999908,0.0
154,21.40000000000001,0,-0.5999999999999908,0.0
155,21.40000000000001,0,-0.5999999999999908,0.0
156,21.40000000000001,0,-0.5999999999999908,0.0
157,21.40000000000001,0,-0.5999999999999908,0.0
158,21.40000000000001,0,-0.5999999999999908,0.0
159,21.40000000000001,0,-0.5999999999999908,0.0
160,21.40000000000001,0,-0.5999999999999908,0.0
161,21.40000000000001,0,-0.5999999999999908,0.0
162,21.40000000000001,0,-0.5999999999999908,0.0
163,21.40000000000001,0,-0.5999999999999908,0.0
164,21.40000000000001,0,-0.5999999999999908,0.0
165,21.40000000000001,0,-0.5999999999999908,0.0
166,21.40000000000001,0,-0.5999999999999908,0.0
167,21.40000000000001,0,-0.5999999999999908,0.0
168,21.40000000000001,0,-0.5999999999999908,0.0
169,21.40000000000001,0,-0.5999999999999908,0.0
170,21.40000000000001,0,-0.5999999999999908,0.0
171,21.40000000000001,0,-0.5999999999999908,0.0
172,21.40000000000001,0,-0.5999999999999908,0.0
173,21.40000000000001,0,-0.5999999999999908,0.0
174,21.40000000000001,0,-0.5999999999999908,0.0
175,21.40000000000001,0,-0.5999999999999908,0.0
176,21.40000000000001,0,-0.5999999999999908,0.0
177,21.40000000000001,0,-0.5999999999999908,0.0
178,21.40000000000001,0,-0.5999999999999908,0.0
179,21.40000000000001,0,-0.5999999999999908,0.0
180,21.40000000000001,0,-0.5999999999999908,0.0
181,21.40000000000001,0,-0.5999999999999908,0.0
182,21.40000000000001,0,-0.5999999999999908,0.0
183,21.40000000000001,0,-0.5999999999999908,0.0
184,21.40000000000001,0,-0.5999999999999908,0.0
185,21.40000000000001,0,-0.5999999999999908,0.0
186,21.40000000000001,0,-0.5999999999999908,0.0
187,21.40000000000001,0,-0.5999999999999908,0.0
188,21.40000000000001,0,-0.5999999999999908,0.0
189,21.40000000000001,0,-0.5999999999999908,0.0
190,21.40000000000001,0,-0.5999999999999908,0.0
191,21.40000000000001,0,-0.5999999999999908,0.0
192,21.40000000000001,0,-0.5999999999999908,0.0
193,21.40000000000001,0,-0.5999999999999908,0.0
194,21.40000000000001,0,-0.5999999999999908,0.0
195,21.40000000000001,0,-0.5999999999999908,0.0
196,21.40000000000001,0,-0.5999999999999908,0.0
197,21.40000000000001,0,-0.5999999999999908,0.0
198,21.40000000000001,0,-0.5999999999999908,0.0
199,21.40000000000001,0,-0.5999999999999908,0.0
200,21.40000000000001,0,-0.5999999999999908,0.0
201,21.40000000000001,0,-0.5999999999999908,0.0
202,21.40000000000001,0,-0.5999999999999908,0.0
203,21.40000000000001,0,-0.5999999999999908,0.0
204,21.40000000000001,0,-0.5999999999999908,0.0
205,21.40000000000001,0,-0.5999999999999908,0.0
206,21.40000000000001,0,-0.5999999999999908,0.0
207,21.40000000000001,0,-0.5999999999999908,0.0
208,21.40000000000001,0,-0.5999999999999908,0.0
209,21.40000000000001,0,-0.5999999999999908,0.0
210,21.40000000000001,0,-0.5999999999999908,0.0
211,21.40000000000001,0,-0.5999999999999908,0.0
212,21.40000000000001,0,-0.5999999999999908,0.0
213,21.40000000000001,0,-0.5999999999999908,0.0
214,21.40000000000001,0,-0.5999999999999908,0.0
215,21.40000000000001,0,-0.5999999999999908,0.0
216,21.40000000000001,0,-0.5999999999999908,0.0
217,21.40000000000001,0,-0.5999999999999908,0.0
218,21.40000000000001,0,-0.5999999999999908,0.0
219,21.40000000000001,0,-0.5999999999999908,0.0
220,21.40000000000001,0,-0.5999999999999908,0.0
221,21.40000000000001,0,-0.5999999999999908,0.0
222,21.40000000000001,0,-0.5999999999999908,0.0
223,21.40000000000001,0,-0.5999999999999908,0.0
224,21.40000000000001,0,-0.5999999999999908,0.0
225,21.40000000000001,0,-0.5999999999999908,0.0
226,21.40000000000001,0,-0.5999999999999908,0.0
227,21.40000000000001,0,-0.5999999999999908,0.0
228,21.40000000000001,0,-0.5999999999999908,0.0
229,21.40000000000001,0,-0.5999999999999908,0.0
230,21.40000000000001,0,-0.5999999999999908,0.0
231,21.40000000000001,0,-0.5999999999999908,0.0
232,21.40000000000001,0,-0.5999999999999908,0.0
233,21.40000000000001,0,-0.5999999999999908,0.0
234,21.40000000000001,0,-0.5999999999999908,0.0
235,21.40000000000001,0,-0.5999999999999908,0.0
236,21.40000000000001,0,-0.5999999999999908,0.0
237,21.40000000000001,0,-0.5999999999999908,0.0
